Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
2162,Which of the following statements is false?,"Reaction rate is determined by the change in the amount of initial substance or product substance in a unit of time: second (s), minute (min), hour (h), day (day),...","When a chemical reaction occurs, the amount of starting substances increases over time, while the amount of products decreases over time.","The amount of substance can be expressed in moles, molar mass concentration, or volume.","Different reactions occur at different rates, some reactions occur quickly and some reactions occur slowly.",B,Chemistry 10,True
2163,Given the following factors:_x000D_ _x000D_ (a) Concentration_x000D_ _x000D_ (b) Temperature_x000D_ _x000D_ (c) Catalyst_x000D_ _x000D_ (d) Pressure_x000D_ _x000D_ (e) Mass of solid_x000D_ _x000D_ (f) Surface area of solid,3,4,5,6,B,Chemistry 10,True
2164,"In the following chemical reactions, which reaction occurs quickly?",Acid-base neutralization,Rusty iron,Alcoholic fermented starch,The food is spoiled.,A,Chemistry 10,True
2166,Which of the following statements is incorrect about oxidation numbers?,Oxidation number is the conventional charge of an atom in a molecule when all bonding electrons are completely transferred to the atom with greater electronegativity.,"Oxidation numbers are known in algebraic form, the number first, the sign after.",Oxidation numbers are often used to write chemical equations for redox reactions.,"In molecules of compounds, the oxidation number of hydrogen is usually +1.",B,Chemistry 10,True
2167,Which of the following actions shows the effect of surface area on reaction rate: $CaCO_3 + 2HCl → CaCl_2 + CO_2 + H_2O$,Increase HCl concentration,Crushed limestone,Add catalyst,Increase the temperature of the reaction.,B,Chemistry 10,True
2168,Which group of elements does the halogen group include?,VA,VIA,VIIA,VIIIA,C,Chemistry 10,True
2169,"In nature, what form do halogens exist in?",Simple,Compound,Does not exist,Both simple and compound.,B,Chemistry 10,True
2171,The oxidation number of sulfur in the SO_{4}2- ion is:,-2,0,4,6,D,Chemistry 10,True
2173,Which of the following properties are common to halogen elements?,Both oxidizing and reducing properties,Diatomic molecule,"At room temperature, all are in gaseous state.",Strong reaction with water.,B,Chemistry 10,True
2176,Which of the following reactions is an oxidation-reduction reaction?,$NaOH + HCl → NaCl + H_2O.$,$FeO + H_2SO_4 → FeSO_4 + H_2O.$,$NH_3 + HCl → NH_4Cl.$,$4NH_3 + 3O_2 → 2N_2 + 6H_2O.$,D,Chemistry 10,True
2179,What material can a container made of to hold HF acid solution?,Glass,Iron,Plastic,Aluminum,C,Chemistry 10,True
2180,Which of the following statements is false?,The electronegativity of bromine is greater than that of iodine.,The acidity of HF is stronger than that of HCl.,The reducing property of HBr is stronger than that of HCl.,The atomic radius of chlorine is larger than that of fluorine.,B,Chemistry 10,True
2181,Which of the following metals reacts with dilute HCl solution and reacts with chlorine gas to give the same metal chloride salt?,Ag,Fe,Cu,Al,D,Chemistry 10,True
2182,Compound $Al_{x}(NO_{3})_{3}$ has molecular mass 213. The value of x is:,3,2,1,4,C,Chemistry 10,True
2183,Barium has valence II. Choose the wrong formula.,$BaSO_{4}$,Bag,BaCl,$Ba(OH)_{2}$,C,Chemistry 8,True
2184,When analyzing compound (X) contains 27.273% carbon and the rest is oxygen. What is the valence of carbon in the above compound?,I,II,III,IV,D,Chemistry 8,True
2185,Write the chemical formula knowing that the valence of X is I and the number of p = e is 13 and Y has an atomic mass of 35.5,NaCl,$BaCl_{2}$,NaO,MgCl,A,Chemistry 8,True
2186,Determine the chemical formula of Ca(II) with OH(I),CaOH,$Ca(OH)_{2}$,$Ca_{2}(OH)$,$Ca_3OH$,B,Chemistry 8,True
2187,Choose the wrong sentence,Valence is a number that represents the ability of an atom of one element to bond with another atom of another element.,The valence of an element is determined by the valence of H chosen as the unit and the valence of oxygen is 2 units.,Valence rule: xa=yb,Phosphorus has only valence IV.,D,Chemistry 8,True
2188,Let the compound of X be XO and the compound of Y be $NA_2Y$. The chemical formula of the compound formed by X and Y is,XY,$X_2Y$,$X_3Y$,All of the above,A,Chemistry 8,True
2189,The valence of sulfur in which of the following compounds is the largest?,$H_2S$,$SO_2$,$SO_3$,$Al_{2}S_{3}$,C,Chemistry 8,True
2190,Given the oxide compound of nitrogen in the form $N_aO_b$ The valence of nitrogen in the above oxide compound is:,a,b,$\frac{b}{a}$,$\frac{2b}{a}$,D,Chemistry 8,True
2192,Given the following formula $CH_{3}COONa$ Calculate %mNa,29.27%,3.66%,28.05%,39%,C,Chemistry 8,True
2193,Choose the correct sentence,The valence of C in CO is IV.,Valence rule xa=yb,A chemical formula only tells which elements make up a substance.,All answers are correct,B,Chemistry 8,True
2194,"A compound Y has a molecular mass of 58 amu, composed of two elements C and H, in which C accounts for 82.76% of the mass of the compound. The molecular formula of Y is:",$CH_4$,$C_4H_8$,$C_4H_10$,$C_2H_4$,C,Chemistry 8,True
2197,A compound X consists of two elements C and O. Knowing that the mass ratio of C to O is $m_C$ : $m_O$ = 3 : 8. The molecular formula of X is:,CO,$CO_2$,$CO_3$,All wrong,B,Chemistry 8,True
2199,From the formula $KMnO_{4}$ what information do we know?,There are 4 $O_2$ atoms in the molecule,"Compounds made from the elements K, O, Mn",Molecular mass is 99 amu,All answers,B,Chemistry 8,True
2201,"Let 0.56 g of Fe react with 16 g of oxygen to produce magnetic iron oxide. When the reaction is complete, calculate the mass of magnetic iron oxide and indicate the remaining substance after the reaction?",Excess oxygen and m = 0.67 g,Excess Fe and m = 0.774 g,Excess oxygen and m = 0.773 g,Excess Fe and m = 0.67 g,C,Chemistry 8,True
2202,Which of the following properties does oxygen not have?,Oxygen is a gas.,"In compounds, oxygen has a valence of 2.",Soluble in water,Heavier than air,C,Chemistry 8,True
2203,"To completely oxidize a metal M with valence (II) to oxygen, an amount of oxygen equal to 40% of the amount of metal used must be used. Which of the following metals is metal M?",Zn,Mg,Song,Three,C,Chemistry 8,True
2205,Choose the correct answer,"In the 19th century, oxygen was often mixed with nitrous oxide as a pain reliever.",Oxygen is used as a reducing agent.,"A chemical reaction is when one substance, after being heated, forms two substances.",All 3 answers,A,Chemistry 8,True
2207,Which of the following oxide compounds is not a basic oxide?,$CrO_{3}$,$Cr_{2}O_{3}$,Bag,$K_2O$,A,Chemistry 8,True
2209,What are the ways to prepare oxygen in industry?,Use air as fuel,Use water as raw material,Either way,A&B,D,Chemistry 8,True
2210,Thermal decomposition of 12.25g of KClO3 shows gas rising. Calculate the volume of the gas at standard conditions.,4.8 liters,3.36 liters,2.24 liters,3.2 liters,B,Chemistry 8,True
