Question,A,B,C,D,Answer,Grade
" small object oscillates harmonically along a straight trajectory 14 cm long with a period of 1 s. From the time the object passes the position with a displacement of 3.5 cm in the positive direction until the object's acceleration reaches its minimum value for the second time, the object's average speed is", 27 cm/s., 35 cm/s., 70 cm/s., 91 cm/s., A, Physics 12
" An object oscillates with the equation x=6cos(10πt/3)cm. From t = 0, the 2013th time the object has a speed of 10π cm/s is", 302.18 s., 200.16 s., 301.85 s., 205.71 s., C, Physics 12
 A small object oscillates with the velocity equation v = 5πcos(πt+π/6)(cm/s). The average speed of the object from the initial moment to the position where the kinetic energy is 1/3 of the potential energy the second time is, 6.34 s, 12.34 s, 17.02 s, 21.93 s, A, Physics 12
" The object oscillates harmonically according to the equation x = Acosωt (cm). After oscillating for 1/6 of the period, the object has a displacement of √3/2 cm. The amplitude of the object's oscillation is:", 2√2 cm, √3cm, 2 cm,4√2cm, B, Physics 12
 Show answer, 10 cm., 30 cm., 40 cm., 20 cm., C, Physics 12
 Show answer, 10 rads., 40 rad., 20 rad., 5 rad., C, Physics 12
" In the harmonic oscillation of a spring pendulum, the pulling force acts on the object.", A. proportional to the deformation of the spring., B. proportional to the distance from the object to the equilibrium position., C. always points away from the equilibrium position., D. is always inversely proportional to the deformation of the spring., B, Physics 12
The period of the pendulum depends on, mass of object and spring stiffness., Gravitational acceleration at the laboratory., mass of object, spring stiffness, A, Physics 12
" A spring pendulum consists of an object with mass m and a spring with constant stiffness k, oscillating harmonically. If the mass is 200 g, the period of oscillation of the pendulum is 2 s. For the period of the pendulum to be 1 s, the mass m is equal to", 10 g., 20 g., 35 g., 50 g., D, Physics 12
" A spring pendulum consists of a spring with stiffness 20 N/m and a ball with mass oscillating harmonically. At time t, the velocity and acceleration of the ball are 20 cm/s and 2√3 m/s respectively. The amplitude of oscillation of the ball is", 2 cm., 4 cm., 5 cm., 7 cm., B, Physics 12
 A spring stretches when a 250 g mass is hung from it. What is the period of the pendulum thus formed?, 1.1 s., 0.95 s., 0.53 s., 0.31 s., D, Physics 12
 A spring pendulum has mechanical energy W = 0.9 J and oscillation amplitude A = 15cm. What is the kinetic energy of the pendulum at the position with displacement x = -5 cm?, 0.5 J., 0.8 J., 0.95 J., 1 J., B, Physics 12
" spring pendulum with stiffness k = 200N/m, mass m = 200 g oscillates harmonically with amplitude A = 10 (cm). What is the speed of the pendulum when passing through the position with displacement x = 2.5 cm?", 1.55 m/s., 0.97 m/s., 2.52 m/s., 3.06 m/s., D, Physics 12
 A point mass m1 = 50 g oscillates harmonically around its equilibrium position with the oscillation equation x1 = 5cos(πt + π/6)(cm). A point mass m2 = 100 g oscillates harmonically around its equilibrium position with the oscillation equation x2 = 5cos(πt - π/6)(cm). The ratio of mechanical energy during the harmonic oscillation of point mass m1 to point mass m2 is equal to, 0.25, 0.5, 1, 2, B, Physics 12
" The spring pendulum oscillates harmonically with a frequency of 2 Hz, the mass of the weight is 100 g, take π2 = 10. The stiffness of the spring is", 8 N/m., 80 N/m., 16 N/m., 160 N/m., C, Physics 12
" spring pendulum is oscillating horizontally with an amplitude of cm. The small object of the pendulum has a mass of 100g, the spring has a stiffness of 100 N/m. When the small object has a velocity of 10√10 cm/s, its acceleration has a magnitude of", 10√3 m/s^2, √3 m/s^2, 5√3 m/s^2, 2√3 m/s^2, A, Physics 12
" A spring pendulum consists of a 0.2 kg mass attached to the end of a spring with stiffness 20 N/m. Pull the mass away from the equilibrium position and then release it gently to oscillate, the average speed in 1 cycle is 160 π cm/s. The oscillating mechanical energy of the pendulum is", 0.025 J., 0.064 J., 0.072 J., 0.095 J., B, Physics 12
" A light spring with a natural length of 30 cm has stiffness k, the upper end is fixed, the lower end is attached to an object m, the object oscillates harmonically on a plane inclined at an angle of 30° with the equation x=6cos(10t+5π/6) (t is measured in s) at a place where g = 10 m/s^2. During the oscillation process, the minimum length of the spring is", 20 cm., 27 cm., 29 cm., 37 cm., C, Physics 12
" spring pendulum, consisting of a light spring with stiffness 50 N/m, an object with mass 2 kg, oscillates harmonically along the Ox axis in the horizontal direction (O is the equilibrium position) according to the equation x=6cos(ωt+π/3) (cm). Calculate the spring elastic force at time t=0.4π s.", 1 N., 1.5 N., 1.75 N., 2 N., B, Physics 12
" A spring pendulum is suspended vertically at point J where the free fall acceleration is 10 (m/s2). When the object oscillates harmonically, the maximum compressive force on the suspension point J is 2 N and the maximum tensile force on the suspension point J is 4 N. The maximum acceleration of the oscillating object is:", 20 m/s2, 30 m/s2, 15 m/s2, 25 m/s2, B, Physics 12
" A vertically suspended spring pendulum oscillates harmonically with amplitude A. During the oscillation, the largest and smallest lengths of the spring are 34 cm and 20 cm, the ratio of the largest and smallest elastic force of the spring is 10/3. Take g = π^2 = 10 m/s^2. Calculate the natural length of the spring.", 10 cm., 12 cm., 14 cm., 18 cm., C, Physics 12
" spring pendulum placed on a horizontal plane consists of a light spring with one end fixed and the other end attached to a small object m1. Initially, hold object m1 at a position where the spring is compressed by 8 cm, place the small object m2 (m2 = m1) on the horizontal plane and close to object m1. Release gently so that the two objects begin to move in the direction of the spring axis. Ignore all friction. At the moment the spring has its maximum length for the first time, the distance between the two objects m1 and m2 is", 2.1 cm., 3.2 cm., 5.5 cm., 7.1 cm., B, Physics 12
" A spring pendulum with stiffness k = 100N/m and a heavy object of mass m = 5/9 kg are oscillating harmonically with amplitude A = 2.0 cm on a smooth horizontal plane. At the moment object m passes the position where kinetic energy equals potential energy, a small object of mass m0 = m/2 falls vertically and sticks to m. When passing the equilibrium position, the system (m + m0) has a speed", 10 cm/s., 20 cm/s., 30 cm/s., 40 cm/s., B, Physics 12
 20 cm., 20 cm., 7.5 cm., 15 cm., 10 cm., D, Physics 12
in the same direction as the spring deformation., in the same direction as the object's motion., towards the edge position.,in the same direction as the spring deformation., toward equilibrium position., D, Physics 12
 The time interval between two consecutive times Wđ = Wt is:, 400 g., 40 g., 200 g., 100 g., A, Physics 12
" A simple pendulum consists of a string of negligible mass, inextensible, length l and a small ball of mass m. The pendulum is stimulated to oscillate harmonically in a place with gravitational acceleration g. If the potential energy reference is chosen at the equilibrium position of the ball, the potential energy of this pendulum at angular displacement α has the expression", mgl(1-sinα), mgl(cosα-sinα), mgl(sinα-cosα), mgl(sinα+cosα), B, Physics 12
" At a location on Earth, a pendulum of length l1 oscillates harmonically with period T1; a pendulum of length l2 (l2<l1) oscillates harmonically with period T2. Also at that location, a pendulum of length l1−l2 oscillates harmonically with period", T1, T2, T1−T2, T12−T22, D, Physics 12
" A simple pendulum oscillates in harmonic motion with an angular amplitude of α0. Take the potential energy as the reference point at the equilibrium position. At the position where the pendulum has kinetic energy equal to potential energy, its angular displacement is equal to:", ±α0√2, ±α0√3, ±α0√2, ±α0/2, C, Physics 12
"At a place with gravitational acceleration g, a pendulum with a long string is oscillating harmonically. The frequency of oscillation of the pendulum is", 1/2π√(g/l), 1/2π√(l/g), 2π√(l/g), π√(l/g), A, Physics 12
 The pulling force of a simple pendulum oscillating in harmonic motion with small amplitude is, gravity, tension, combination of gravity and tension.," A, B and C are all incorrect.", C, Physics 12
 The most important application of the pendulum is,determine the length of the pendulum., determine acceleration in field., determine the mass of an object., determine the frequency of oscillation., B, Physics 12
