Question,A,B,C,D,Answer,Grade,retained
Ý nào sau đây không phải việc làm của Định Bộ Lĩnh sau khi hoàn thành thống nhất đất nước?,Lên ngôi Hoàng đế (Đinh Tiên Hoàng).,"Đặt tên nước là Đại Cổ Việt, đặt niên hiệu là Thái Bình.",Đóng đô ở Cổ Loa (Đông Anh - Hà Nội).,Kiện toàn thêm một bước chính quyền ở trung ương và địa phương.,C,Lịch sử 7,True
"Đầu năm 981, quân Tống do ai chỉ huy tiến vào xâm lược nước ta?",Ô Mã Nhi.,Triệu Tiết.,Hoằng Tháo.,Hầu Nhân Bảo.,D,Lịch sử 7,True
"""Loạn 12 sứ quân"" là biến cố lịch sử xảy ra vào cuối thời",Ngô.,Đinh.,Lý.,Trần.,A,Lịch sử 7,True
Tên gọi của Vương quốc Lang Xang có nghĩa là gì?,Sự trường tồn.,Triệu voi.,Niềm vui lớn.,Triệu mùa xuân.,B,Lịch sử 7,True
Nghề luyện kim thời Vương triều Gúp-ta đã phát triển đến trình độ cao thông qua biểu hiện nào?,Đúc được tượng Phật bằng sắt cao tới 2m và không gỉ.,Chế tạo kim hoàn và các tác phẩm nghệ thuật khắc trên ngà voi.,"Dệt được những tấm vải mềm và nhẹ, nhiều màu sắc và không phai.",Đúc được cột sắt không gỉ và những bức tượng Phật bằng đồng cao tới 2m.,D,Lịch sử 7,True
Tại sao Nho giáo trở thành hệ tư tưởng chính thống bảo vệ chế độ phong kiến Trung Quốc?,Phù hợp với phong tục tập quán của người Trung Quốc.,"Tư tưởng Nho giáo mang tính tiến bộ, nhân văn hơn các tư tưởng khác.","Nó tạo ra hệ thống tôn ti trật tự, lễ giáo phục vụ cho sự thống trị của giai cấp phong kiến.",Mang tính giáo dục cao về rèn luyện phẩm chất con người.,C,Lịch sử 7,True
Vì sao phong trào Văn hóa Phục hưng được đánh giá là một “Cuộc cách mạng tiến bộ vĩ đại”?,Tạo ra sự biến đổi căn bản trong nhận thức của con người châu Âu tại thời điểm đó.,"Mở ra những vùng đất mới, con đường mới và những dân tộc mới.","Thị trường thế giới được mở rộng, thúc đẩy hàng hải quốc tế phát triển.","Thúc đẩy quá trình khủng hoảng, tan rã của chủ nghĩa tư bản ở châu Âu.",A,Lịch sử 7,True
Những quốc gia nào đóng vai trò tiên phong trong các cuộc phát kiến địa lý?,"Mĩ, Anh","Tây Ban Nha, Bồ Đào Nha.","Ý, Bồ Đào Nha","Anh, Pháp",B,Lịch sử 7,True
"Ở Tây Âu thời trung đại, lãnh chúa phong kiến được hình thành từ những lực lượng nào?",Quý tộc người Rô-ma.,Nô lệ được giải phóng.,Quý tộc quân sự và tăng lữ.,Nông dân bị tước đoạt ruộng đất.,C,Lịch sử 7,True
Hội thề nào thể hiện tinh thần đoàn kết của các tướng lĩnh trong buổi đầu cuộc khởi nghĩa Lam Sơn?,Đông Quan,Bình Than,Như Nguyệt,Lũng Nhai,D,Lịch sử 7,True
Vì sao quân ta phải chiếm thành Xương Giang trước khi viện binh của giặc đến?,Để chủ động đón đoàn quân địch,Câu A và C đúng,"Lập phòng tuyến, không cho giặc về Đông Quan","Không cho giặc có thành trú đóng, phải co cụm giữa cánh đồng",D,Lịch sử 7,True
Hội thề Đông Quan diễn ra vào thời gian nào?,Ngày 10 tháng 12 năm 1427,Ngày 3 tháng 1 năm 1428,Ngày 1 tháng 3 năm 1428,Ngày 12 tháng 10 năm 1427,A,Lịch sử 7,True
Nét nổi bật của tình hình nghĩa quân Lam Sơn trong giai đoạn 1918 - 1923 là?,liên tục bị quân Minh vây hãm và phải rút lui,tổ chức các trận quyết chiến chiến lược nhưng không thành công,mở rộng địa bàn hoạt động vào phía Nam,tiến quân ra Bắc và giành nhiều thắng lợi,A,Lịch sử 7,True
Ai là người đưa ra ý tưởng chuyển địa bàn hoạt động của nghĩa quân Lam Sơn từ Thanh Hóa vào Nghệ An?,Lê Lợi,. Nguyễn Chích,Nguyễn Trãi,Trần Nguyên Hãn,C,Lịch sử 7,True
Nguyên nhân nào dưới đây là nguyên nhân cơ bản nhất dẫn đến thắng lợi của khởi nghĩa Lam Sơn?,Sự ủng hộ của các tầng lớp nhân dân cho cuộc khởi nghĩa,Nghĩa quân Lam Sơn có tinh thần kĩ thuật cao và chiến đấu dũng cảm,Lòng yêu nước của nhân dân ta được phát huy cao độ,"Bộ chỉ huy khởi nghĩa là những người tài giỏi, mưu lược cao, tiêu biểu là Lê Lợi và Nguyễn Trãi",D,Lịch sử 7,True
"Kế hoạch giải phóng Nghệ An, Tân Bình, Thuận Hóa của nghĩa quân Lam Sơn do ai đưa ra?",Lê Lai.,Nguyễn Trãi.,Nguyễn Chích.,Lê Lợi.,C,Lịch sử 7,True
Vì sao quân Minh lại chấp nhận đề nghị tạm hòa của Lê Lợi vào năm 1423?,tìm cách mua chuộc Lê Lợi,lực lượng quân Minh ở Đại Việt suy yếu nghiêm trọng,tình hình chính trị của nhà Minh bất ổn,quân Minh đang tập trung lực lượng đánh Champa,A,Lịch sử 7,True
Vào thời gian nào 15 vạn quân viện binh của Trung Quốc chia làm hai đạo kéo vào nước ta?,Tháng 11 năm 1427,Tháng 12 năm 1427,Tháng 10 năm 1427,Tháng 10 năm 1426,C,Lịch sử 7,True
Vương Thông đã quyết định mở cuộc phản công đánh vào chủ lực của nghĩa quân Lam Sơn ở đâu?,"Cao Bộ (Chương Mĩ, Hà Tây)",Đông Quan,Đào Đặng (Hưng Yên),Tất cả các vùng trên,A,Lịch sử 7,True
"Chọn từ thích hợp điền vào chỗ trống câu sau đây: “Nghe tin hai đạo viện binh Liễu Thăng, Mộc Thanh bị tiêu diệt hoàn toàn, Vương Thông ở …. (1)… vô cùng khiếp đảm, vội vàng xin hòa và chấp nhận ….(2)…. Để được an toàn rút quân về nước””.",1) Đông Quan 2) Đầu hàng không điều kiện,1) Xương Giang 2) Mở hội thề Đông Quan,1) Đông Quan 2) Mở hội thề Đông Quan,1) Chi Lăng 2) thua đau,C,Lịch sử 7,True
Ý nào dưới đây không phải nguyên nhân thắng lợi của cuộc khởi nghĩa Lam Sơn?,"Nhân dân ta có tinh thần yêu nước, ý chí bất khuất, đoàn kết chiến đấu.","Có đường lối chiến lược, chiến thuật đúng đắn, bộ chỉ huy tài giỏi.",Quân Minh gặp khó khăn trong nước phải tạm dừng cuộc chiến tranh xâm lược Đại Việt.,Biết dựa vào nhân dân để phát triển từ cuộc khởi nghĩa thành cuộc chiến tranh giải phóng dân tộc.,C,Lịch sử 7,True
"Ai là người đã cải trang làm Lê Lợi, phá vòng vây của quân Minh cứu chúa?",Lê Lai,Lê Ngân,Trần Nguyên Hãn,Lê Sát,A,Lịch sử 7,True
Tên tướng nào đã thay Liễu Thăng chỉ huy quân Minh tiến vào Đông Quan?,Lương Minh,Lý Khánh,Thôi Tụ,Hoàng Phúc,A,Lịch sử 7,True
"Chiến thắng Xương Giang, nghĩa quân Lam Sơn đã tiêu diệt bao nhiêu tên địch?",Gần 10 vạn,15 vạn,Gần 5 vạn,20 vạn,C,Lịch sử 7,True
Cuộc khởi nghĩa Lam Sơn thắng lợi có ý nghĩa lịch sử như thế nào?,Mở ra thời kì phát triển mới của đất nước với việc nhà Minh thần phục nước ta.,"Kết thúc 20 năm đô hộ tàn bạo của phong kiến nhà Minh, mở ra thời kì phát triển của đất nước.",Đưa nước ta trở thành một cường quốc trong khu vực.,Kết thúc chiến tranh và buộc nhà Minh bồi thường chiến tranh cho nước ta.,B,Lịch sử 7,True
Hai trận đánh lớn nhất trong khởi nghĩa Lam Sơn là:,trận Rạch Gầm – Xoài Mút và trận Bạch Đằng.,trận Tốt Động – Chúc Động và trận Chi Lăng – Xương Giang.,trận Hạ Hồi và trận Ngọc Hồi – Đống Đa.,trận Tây Kết và trận Đông Bộ Đầu.,B,Lịch sử 7,True
Quyết định nào của Lê Lợi đã tạo ra bước ngoặt đầu tiên cho cuộc khởi nghĩa Lam Sơn?,"tiến quân ra Bắc, mở rộng phạm vi hoạt động",chuyển quân vào Nghệ An,giảng hòa với quân Minh,"giản phóng Tân Bình, Thuận Hóa",B,Lịch sử 7,True
"Để kết thúc nhanh chiến tranh ở châu Âu và châu Á - Thái Bình - Dương, ba cường quốc đã thống nhất mục đích gì?",Sử dụng bom nguyên tử để tiêu diệt phát xít Nhật.,Hồng quân Liên Xô nhanh chóng tấn công vào tận sào huyệt của phát xít Đức ở Bec-lin.,Tiêu diệt tận gốc chủ nghĩa phát xít Đức và quân phiệt Nhật.,Tất cả các mục đích trên.,C,Lịch sử 12,True
"Nguyên nhân nào dưới đây làm cho Liên Xô và các nước Đông Âu bị “trì trệ”, khủng hoảng rồi đi đến sụp đồ công cuộc xây dựng chủ nghĩa xã hội?","Do xây dựng mô hình chủ nghĩa xã hội chưa khoa học, chưa nhân văn.","Do chậm sửa chữa, thay đổi trước những biến động của tình hình thế giới.",Do hoạt động chống phá của các thế lực chống chủ nghĩa xã hội.,Tất cả các nguyên nhân trên.,D,Lịch sử 12,True
Mĩ và các nước đồng minh của Mĩ đã kí kết thành lập “Tổ chức hiệp ước phòng thủ tập thê Đông Nam Á (SEATO)” tại đâu?,Tại Gia-cac-ta (In-đô-nê-xi-a).,Tại Ma-ni-la (Phi-líp-pin).,Tại Băng Cốc (Thái Lan).,Tại Oa-sinh-tơn (Mĩ).,B,Lịch sử 12,True
Biến đổi tích cực quan trọng đầu tiên của các nước Đông Nam Á sau Chiến tranh thế giới thứ bai là:,Từ các nước thuộc địa trở thành các nước độc lập,Nhiều nước có tốc độ phát triển khá nhanh,Sự ra đời của khối ASEAN,"Ngày càng mở rộng đối ngoại, hợp tác với các nước Đông Á và EU.",A,Lịch sử 12,True
Nước nào đưa con người lên Mặt Trăng đầu tiên (7 - 1969)?,Mĩ,Nhật,Liên Xô,Trung Quốc,A,Lịch sử 12,True
Nước nào khởi đầu cuộc cách mạng khoa học -  kĩ thuật lần thứ hai?,Anh,Pháp,Mĩ,Nhật,C,Lịch sử 12,True
"Đến đầu thập kỉ 70, các nước Tây Âu đã trở thành",một trong ba trung tâm kinh tế - tài chính lớn của thế giới.,"khối kinh tế tư bản, đứng thứ hai thế giới",tổ chức liên kết kinh tế - chính trị lớn nhất hành tinh.,trung tâm công nghiệp – quốc phòng lớn của thế giới.,A,Lịch sử 12,True
"Đến năm 1993, Liên minh châu Âu có bao nhiêu thành viên ?",2,25,18,15,D,Lịch sử 12,True
Chiến tranh lạnh chính thức chấm dứt vào thời điểm nào ?,Tháng 2/1989.      ,Tháng 12/1991.,Tháng 12/1989.      ,Tháng 2/1988.,C,Lịch sử 12,True
Tháng 2-1950 gắn liền với sự kiện nổi bật nào ở Trung Quốc?,Hiệp ước liên minh và tương trợ Trung - Xô được kí kết.,"Trung Quốc thực hiện đường lối ""ba ngọn cờ hồng"".","Trung Quốc xây dựng chủ nghĩa xã hội theo hướng ""đại nhảy vọt”.",Trung Quốc lâm vào tình trạng hỗn loạn.,A,Lịch sử 12,True
"Năm 1919, Nguyễn Ái Quốc đã tham gia tổ chức Đảng nào ?",Đảng Xã hội Pháp.,Đảng Cộng sản Pháp.,Đảng Công nhân xã hội dân chủ Pháp.,Đảng Công nhân xã hội dân chù Nga.,A,Lịch sử 12,True
"Trong những nguyên nhân sau đây, nguyên nhân nào là nguyên nhân chủ quan làm cho phong trào yêu nước dân chủ công khai (1919 - 1926) cuối cùng bị thất bại?","Hệ tư tưởng dân chủ tư sản đã trở nên lỗi thời, lạc hậu.","Thực dân Pháp còn mạnh, đủ khả năng đàn áp phong trào.",Giai cấp tư sản dân tộc do yếu kém về kinh tế nên ươn hèn về chính trị; tầng lớp tiểu tư sản do điều kiện kinh tế bấp bênh nên không thể lãnh đạo phong trào cách mạng.,Do chủ nghĩa Mác - Lênin chưa được truyền bá sâu rộng vào Việt Nam.,C,Lịch sử 12,True
Khởi nghĩa Yên Bái (9 - 2 - 1930) thất bại do nguyên nhân khách quan nào?,Giai cấp tư sản dân tộc lãnh đạo.,Tổ chức Việt Nam Quốc dân đảng còn non yếu.,Khởi nghĩa nổ ra hoàn toàn bị động.,Đế quốc Pháp còn mạnh.,D,Lịch sử 12,True
"Điều gì chứng tỏ Cương lĩnh đầu tiên do Nguyễn Ái Quốc khởi thảo là đúng đắn, sáng tạo; thắm đượm tính dân tộc và nhân văn"":",Nêu cao vấn đề dân tộc lên hàng đâu., Đánh giá đúng khả năng cách mạng của các giai cấp trong xã hội Việt Nam.,"Thấy được khả năng liên minh có điệu kiện với giai cấp tư sản dân tộc, khả năng phân hóa, lôi kéo một bộ phận giai Ấp, địa chủ trong cách mạng giải phóng dân tộc.",Cả ba ý trên đều đúng.,D,Lịch sử 12,True
Đại hội Quốc tế Cộng sản lần thứ VII (tháng 7 - 1935) đã có những chủ trương gì?,Thành lập Đảng Cộng sản ở mỗi nước.,Thành lập Mặt trận nhân dân ở các nước.,Thành lập Mặt trận nhân dân ở các nước tư bản.,Thành lập Mặt trận nhân dân ở các nước thuộc địa.,B,Lịch sử 12,True
Tình hình giai cấp công nhân và tiểu tư sản Việt Nam trong những năm 1936- 1939 ?,"Lương thấp, nạn thất nghiệp đe dọa,","Chịu cảnh tô cao, thuế nặng, đời sổng hết sức bấp bênh.","Bị tư bản Pháp tìm cách chèn ép, cản trở mọi hoạt động kinh doanh.", Tất cá các ý trên.,A,Lịch sử 12,True
"Điểm giống nhau về ý nghĩa của ba sự kiện: khởi nghĩa Bắc Sơn, khởi nghĩa Nam Kì và binh biến Đô Lương là gì?",Các lực lượng vũ trang cách mạng ra đời và phát triển từ ba cuộc khởi nghĩa.,"Giáng đòn chí tử vào thực dân Pháp, nghiêm khắc cảnh cáo phát xít Nhật, những phát súng đầu tiên báo hiệu một cao trào cách mạng mới.",Để lại những bài học kinh nghiệm về xây dựng lực lượng khởi nghĩa vũ trang.,Mở ra một thời kì đấu tranh mới.,B,Lịch sử 12,True
Tại sao ta chuyển từ chiến lược đánh Pháp sang chiến lược hoà hoãn nhân nhượng Pháp?,Vì Pháp được Anh hậu thuẫn.,Vì ta tránh tình trạng một lúc đối phó với nhiều kẻ thù.,Vì Pháp và Tưởng đã bắt tay cấu kết với nhau chống ta.,Vì Pháp được bọn phản động tay sai giúp đỡ.,C,Lịch sử 12,True
"Tháng 11/1946, ai giữ chức Bộ trường Bộ ngoại giao trong Chính phủ Việt Nam Dân chủ Cộng hoà ?",Hồ Chí Minh.,Nguyễn Tường Tam.,Lê Văn Hiến.,Phạm Văn Đồng.,A,Lịch sử 12,True
Chính phủ ta tiến hành cải cách giáo dục vào thời gian nào ?,Tháng 7/1950.   ,Tháng 5/1950.,Tháng 9/1949.  ,Tháng 9/1950.,A,Lịch sử 12,True
