Question,A,B,C,D
"Trong quá trình bảo quản, một mẫu muối FeSO_{4}.7H_{2}O (có khối lượng m gam) bị oxi hóa bởi oxi không khí tạo thành hỗn hợp X chứa các hợp chất của Fe (II) và Fe (III). Hòa tan toàn bộ X trong dung dịch loãng chứa 0,025 mol H_{2}SO_{4}, thu được 100 ml dung dịch Y. Tiến hành hai thí nghiệm với Y:
        Thí nghiệm 1: Cho lượng dư dung dịch BaCl_{2} vào 20 ml dung dịch Y, thu được 2,33 gam kết tủa.
        Thí nghiệm 2: Thêm dung dịch H_{2}SO_{4} (loãng, dư) vào 20 ml dung dịch Y, thu được dung dịch Z. Nhỏ từ từ dung dịch KMnO_{4} 0,1M vào Z đến khi phản ứng đủ thì hết 8,6 ml.
Giá trị của m và phần trăm số mol Fe (II) đã bị oxi hóa trong không khí lần lượt là","11,12 và 57%","11,12 và 43%","6,95 và 7%","6,95 và 14%"
"Hỗn hợp X gồm ba este mạch hở đều tạo bởi axit cacboxylic với ancol, trong đó hai este có cùng số nguyên tử cacbon trong phân tử. Xà phòng hóa hoàn toàn 7,76 gam X bằng dung dịch NaOH vừa đủ, thu được hỗn hợp Y gồm hai ancol đơn chức, kế tiếp trong dãy đồng đẳng và hỗn hợp Z gồm hai muối. Cho toàn bộ Y vào bình đựng kim loại Na dư, sau phản ứng có khí H_{2} thoát ra và khối lượng bình tang 4 gam. Đốt cháy hoàn toàn Z cần vừa đủ 0,09 mol O_{2}, thu được Na_{2}CO_{3} và 4,96 gam hỗn hợp CO_{2} và H_{2}O. Phần trăm khối lượng của este có phân tử khối nhỏ nhất trong X là","15,46%","19,07%","77,32%","61,86%"
"Saccarozơ là một loại đisaccarit có nhiều trong cây mía, hoa thốt nốt, củ cải đường. Công thức phân tử của saccarozơ là",C_{6}H_{12}O_{6},(C_{6}H_{10}O_{5})_{n},C_{12}H_{22}O_{11},C_{6}H_{4}O_{2}
"Nung nóng Fe(OH)_{3} đến khối lượng không đổi, thu được chất rắn là",Fe_{3}O_{4},Fe,FeO,Fe_{2}O_{3}
Trùng hợp vinyl clorua thu được polime có tên gọi là,Poli(vinyl clorua),Polipropilen,Polietilen,Polistiren
Các loại phân lân đều cung cấp cho cây trồng nguyên tố,Photpho,Kali,Cacbon,Nitơ
Sục khí axetilen vào dung dịch AgNO_{3} trong NH_{3} thu được kết tủa màu,Vàng nhạt,Trắng,Đen,Xanh
Kim loại nào sau đây có nhiệt độ nóng chảy cao nhất?,Cr,Ag,W,Fe
Chất nào sau đây là muối axit?,KCl,CaCO_{3},NaHS,NaNO_{3}
Chất nào sau đây tác dụng được với dung dịch HCl?,MgCl_{2},BaCl_{2},Al(NO_{3})_{3},Al(OH) _{3}
Chất nào sau đây tác dụng được với dung dịch KHCO_{3}?,K_{2}SO_{4},KNO_{3},HCl,KCl
Nguyên tố crom có số oxi hóa +3 trong hợp chất nào sau đây?,Na2Cr2O7,Cr2O_{3},CrO,NaCrO4
Tên gọi của hợp chất CH3-CHO là,Anđehit fomic,Axit axetic,Anđehit axetic,Etanol
"Vào mùa đông, nhiều gia đình sử dụng bếp than đặt trong phòng kín để sưởi ấm gây ngộ độc khí, có thể dẫn tới tử vong. Nguyên nhân gây ngộ độc là do khí nào sau đây?",H_{2},O_{3},N_{2},CO
Số đồng phân este ứng với công thức phân tử C_{3}H_{6}O_{2} là,2,3,5,4
"Dẫn khí CO dư qua ống sứ đựng 16 gam bột Fe_{2}O_{3} nung nóng, thu được hỗn hợp khí X. Cho toàn bộ X vào nước vôi trong dư, thu được m gam kết tủa. Biết các phản ứng xảy ra hoàn toàn. Giá trị của m là",10,30,15,16
Cặp chất nào sau đây cùng tồn tại trong một dung dịch?,Ba(OH) _{2} và H_{3}PO_{4},Al(NO_{3})_{3} và NH_{3},(NH_{4}) _{2}HPO_{4} và KOH,Cu(NO_{3})_{2} và HNO_{3}
"Cho 9,85 gam hỗn hợp gồm hai amin đơn chức tác dụng vừa đủ với V ml dung dịch HCl 1M, thu được dung dịch chứa 18,975 gam hỗn hợp muối. Giá trị của V là",300,450,400,250
"Cho m gam glucozơ (C_{6}H_{12}O_{6}) tác dụng hết với lượng dư dung dịch AgNO_{3} trong NH_{3}, thu được 3,24 gam Ag. Giá trị của m là","1,35","1,80","5,40","2,70"
"Thực hiện thí nghiệm như hình vẽ bên. Kết thúc thí nghiệm, dung dịch Br_{2} bị mất màu",CaC_{2},Na,Al_{4}C_{3},CaO
"Cho các chất: anilin, phenylamoni clorua, alanin, Gly-Ala. Số chất phản ứng được với NaOH trong dung dịch là",2,1,4,3
"Cho 0,425 gam hỗn hợp X gồm Na và K vào nước dư, thu được 0,168 lít khí H_{2} (đktc). Khối lượng kim loại Na trong X là","0,115 gam","0,230 gam","0,276 gam","0,345 gam"
"Thủy phân hoàn toàn a mol triglixerit X trong dung dịch NaOH vừa đủ, thu được glixerol và m gam hỗn hợp muối. Đốt cháy hoàn toàn a mol X thu được 1,375 mol CO_{2} và 1,275 mol H_{2}O. Mặt khác, a mol X tác dụng tối đa với 0,05 mol Br_{2} trong dung dịch. Giá trị của m là","20,15","20,60","23,35","22,15"
"Cho các chất: NaOH, Cu, HCl, HNO_{3}, AgNO_{3}, Mg. Số chất phản ứng được với dung dịch Fe(NO_{3})_{2} là",3,4,5,6
"Hòa tan 27,32 gam hỗn hợp E gồm hai muối M_{2}CO_{3} và MHCO_{3} vào nước, thu được dung dịch X. Chia X thành hai phần bằng nhau. Cho phần một tác dụng hoàn toàn với dung dịch Ba(OH) _{2} dư, thu được 31,52 gam kết tủa. Cho phần hai tác dụng hoàn toàn với dung dịch BaCl_{2} dư, thu được 11,82 gam kết tủa. Phát biểu nào dưới đây đúng?",Hai muối trong E có số mol bằng nhau,Muối M2CO_{3} không bị nhiệt phân,"X tác dụng với NaOH dư, tạo ra chất khí","X tác dụng được tối đa với 0,2 mol NaOH"
"Cho các phát biểu sau:
(a) Phản ứng thế brom vào vòng thơm của anilin dễ hơn benzen.
(b) Có hai chất hữu cơ đơn chức, mạch hở có cùng công thức C_{2}H_{4}O_{2}.
(c) Trong phân tử, các amino axit đều chỉ có một nhóm NH_{2} và một nhóm COOH.
(d) Hợp chất H_{2}N-CH_{2}-COO-CH_{3} tác dụng được với dung dịch NaOH và dung dịch HCl.
(e) Thủy phân hoàn toàn tinh bột và xenlulozơ đều thu được glucozơ.
(g) Mỡ động vật và dầu thực vật chứa nhiều chất béo",6,3,4,5
Câu 65.	Nhỏ từ từ đến dư dung dịch Ba(OH)2 vào dung dịch chứa m gam hỗn hợp Al_{2}(SO_{4})_{3} và Al(NO_{3})_{3}. Sự phụ thuộc của khối lượng kết tủa (y gam) vào số mol Ba(OH) _{2} (x mol) được biểu diễn bằng đồ thị bên. Giá trị của m là,"5,97","7,26","7,68","7,91"
"Đốt cháy hoàn toàn 0,1 mol hỗn hợp X gồm CH_{4}, C_{2}H_{2}, C_{2}H_{4} và C_{3}H_{6}, thu được 4,032 lít CO_{2} (đktc) và 3,78 gam H_{2}O. Mặt khác 3,87 gam X phản ứng được tối đa với a mol Br_{2} trong dung dịch. Giá trị của a là trị của a là","0,070","0,105","0,030","0,045"
"Câu 67.        Tiến hành các thí nghiệm sau:
(a) Cho kim loại Cu dư vào dung dịch Fe(NO_{3})_{3}
(b) Sục khí CO_{2} dư vào dung dịch NaOH.
(c) Cho Na_{2}CO_{3} vào dung dịch Ca(HCO_{3})_{2} (tỉ lệ mol 1 : 1).
(d) Cho bột Fe dư vào dung dịch FeCl_{3}
(e) Cho hỗn hợp BaO và Al_{2}O_{3} (tỉ lệ mol 1 : 1) vào nước dư.
(g) Cho hỗn hợp Fe_{2}O_{3} và Cu (tỉ lệ mol 1 : 1) vào dung dịch HCl dư
Sau khi các phản ứng xảy ra hoàn toàn, số thí nghiệm thu được dung dịch chứa một muối là",2,3,4,5
"Cho kim loại M và các hợp chất X, Y, Z thỏa mãn các phương trình hóa học sau:
a)        2M+3Cl_{2}\xrightarrow[to]2MCl_{3}
b)        2M+6HCl \xrightarrow  2MCl_{3}+3H_{2}
c)        2M+2X+2H\xrightarrow _{2}O  2Y+3H_{2}
d)        Y+CO_{2}+2H_{2}O \xrightarrow  Z+KHCO_{3}
Các chất X, Y, Z lần lượt là:","KOH, KAlO_{2}, Al(OH) _{3}","NaOH, NaCrO_{2}, Cr(OH) _{3}","NaOH, NaAlO_{2}, Al(OH) _{3}","KOH, KCrO_{2}, Cr(OH) _{3}"
"Cho các phát biểu sau:
(a) Cho khí H_{2} dư qua hỗn hợp bột Fe_{2}O_{3} và CuO nung nóng, thu được Fe và Cu.
(b) Cho kim loại Ba tác dụng với dung dịch CuSO_{4}, thu được kim loại Cu.
(c) Cho AgNO_{3} tác dụng với dung dịch FeCl_{3}, thu được kim loại Ag.
(d) Để gang trong không khí ẩm lâu ngày có xảy ra ăn mòn điện hóa học.
(e) Dùng bột lưu huỳnh để xử lí thủy ngân khi nhiệt kế bị vỡ.
Số phát biểu đúng là",4,2,3,5
"Hợp chất hữu cơ X (C_{8}H_{15}O_{4}N) tác dụng với dung dịch NaOH dư, đun nóng, thu được sản phẩm hữu cơ gồm muối đinatri glutamat và ancol. Số công thức cấu tạo của X là",3,6,4,5
"Kết quả thí nghiệm của các chất X, Y, Z với các thuốc thử được ghi ở bảng sau:
Chất        Thuốc thử        Hiện tượng
X        Quỳ tím        Quỳ tím chuyển màu hồng
Y        Dung dịch AgNO_{3} trong NH_{3}        Tạo kết tủa Ag
Z        Nước brom        Tạo kết tủa trắng
Các chất X, Y, Z lần lượt là:","Etyl fomat, axit glutamic, anilin","Axit glutamic, etyl fomat, anilin","Anilin, etyl fomat, axit glutamic","Axit glutamic, anilin, etyl fomat"
"Cho các sơ đồ phản ứng theo đúng tỉ lệ mol:                    
a)        X+2NaOH \xrightarrow[t^o]  X_{1}+X2+H_{2}O
b)        X_{1}+H_{2}SO_{4} \xrightarrow X_{3}+Na_{2}SO_{4}
c)        nX_{3}+nX_{4}\xrightarrow[t^o, xt]  poli(etylen terephtalat)+2nH_{2}O
d)        X_{3}+2X_{2} \xrightleftarrow[H_{2}SO_{4} (đặc, t^o)]  X_{5}+2H_{2}O
Cho biết: X là hợp chất hữu cơ có công thức phân tử C_{10}H_{10}O_{4}; X_{1}, X_{2}, X_{3}, X_{4}, X_{5} là các hợp chất hữu cơ khác nhau. Phân tử khối của X_{5} là",118,194,222,202
"Hòa tan hết 18,32 gam hỗn hợp X gồm Al, MgCO_{3}, Fe, FeCO_{3} trong dung dịch chứa 1,22 mol NaHSO_{4} và 0,25 mol HNO_{3}, thu được dung dịch Z (chỉ chứa muối trung hòa) và 7,97 gam hỗn hợp khí Y gồm CO_{2}, N_{2}, NO, H_{2} (trong Y có 0,025 mol H_{2} và tỉ lệ mol NO : N_{2} = 2 : 1). Dung dịch Z phản ứng được tối đa với 1,54 mol NaOH, lọc lấy kết tủa đem nung trong không khí đến khối lượng không đổi, thu được 8,8 gam chất rắn. Biết các phản ứng xảy ra hoàn toàn. Phần trăm khối lượng Fe đơn chất trong X là","30,57%","24,45%","18,34%","20,48%"
"Cho m gam hỗn hợp X gồm Fe, Fe_{3}O_{4} và FeCO_{3} (tỉ lệ mol tương ứng là 6 : 1 : 2) phản ứng hoàn toàn với dung dịch H_{2}SO_{4} (đặc, nóng) thu được dung dịch Y chứa hai muối và 2,128 lít (đktc) hỗn hợp khí Z gồm CO_{2} và SO_{2}. Biết Y phản ứng tối đa với 0,2m gam Cu. Hấp thụ toàn bộ Z vào dung dịch Ca(OH) _{2} dư, thu được a gam kết tủa. Giá trị của a là","11,0","11,2","10,0","9,6"
"Hỗn hợp E gồm chất X (C_{m}H_{2}_{m+4}O_{4}N_{2}, là muối của axit cacboxylic hai chức) và chất Y (C_{n}H_{2}_{n+3}O_{2}N, là muối của axit cacboxylic đơn chức). Đốt cháy hoàn toàn 0,2 mol E cần vừa đủ 0,58 mol O_{2}, thu được N_{2}, CO_{2} và 0,84 mol H_{2}O. Mặt khác, cho 0,2 mol E tác dụng hết với dung dịch NaOH, cô cạn dung dịch sau phản ứng, thu được một chất khí làm xanh quỳ tím ẩm và a gam hỗn hợp hai muối khan. Giá trị của a là","18,56","23,76","24,88","22,64"
"Hỗn hợp X gồm Al, K, K_{2}O và BaO (trong đó oxi chiếm 10% khối lượng của X). Hòa tan hoàn toàn m gam X vào nước dư, thu được dung dịch Y và 0,056 mol khí H_{2}. Cho từ từ đến hết dung dịch chứa 0,04 mol H_{2}SO_{4} và 0,02 mol HCl vào Y, thu được 4,98 gam hỗn hợp kết tủa và dung dịch Z chỉ chứa 6,182 gam hỗn hợp các muối clorua và muối sunfat trung hòa. Giá trị của m là","9,592","5,760","5,004","9,596"
"Điện phân dung dịch X gồm CuSO_{4} và KCl (tỉ lệ mol tương ứng là 1 : 5) với điện cực trơ, màng ngăn xốp, cường độ dòng điện không đổi I = 2A. Sau 1930 giây, thu được dung dịch Y và hỗn hợp khí gồm H_{2} và Cl_{2} (có tỉ khối so với H_{2} là 24). Mặt khác, nếu điện phân X trong thời gian t giây thì khối lượng dung dịch giảm 2,715 gam. Giả thiết hiệu suất điện phân là 100%, các khí sinh ra không tan trong nước và nước không bay hơi trong quá trình điện phân. Giá trị của t là",3860,5790,4825,2895
"Cho 0,08 mol hỗn hợp X gồm bốn este mạch hở phản ứng vừa đủ với 0,17 mol H_{2} (xúc tác Ni, t^o), thu được hỗn hợp Y. Cho toàn bộ Y phản ứng vừa đủ với 110 ml dung dịch NaOH 1M, thu được hỗn hợp Z gồm hai muối của hai axit cacboxylic no có mạch cacbon không phân nhánh và 6,88 gam hỗn hợp T gồm hai ancol no, đơn chức. Mặt khác, đốt cháy hoàn toàn 0,01 mol X cần vừa đủ 0,09 mol O_{2}. Phần trăm khối lượng của muối có phân tử khối lớn hơn trong Z là","54,18%","50,31%","58,84%","32,88%"
"Cho X, Y, Z là ba peptit mạch hở (có số nguyên tử cacbon trong phân tử tương ứng là 5, 7, 11); T là este no, đơn chức, mạch hở. Chia 234,72 gam hỗn hợp E gồm X, Y, Z, T thành hai phần bằng nhau. Đốt cháy hoàn toàn phần một cần vừa đủ 5,37 mol O_{2}. Thủy phân hoàn toàn phần hai bằng dung dịch NaOH vừa đủ, thu được ancol metylic và hỗn hợp G (gồm bốn muối của Gly, Ala, Val và axit cacboxylic). Đốt cháy hoàn toàn G, thu được Na2CO_{3}, N_{2}, 2,58 mol CO_{2} và 2,8 mol H_{2}O. Phần trăm khối lượng của Y trong E là","2,22%","1,48%","2,97%","20,18%"
"Cho m gam hỗn hợp X gồm ba este đều đơn chức tác dụng tối đa với 350 ml dung dịch NaOH 1M, thu được hỗn hợp Y gồm hai ancol cùng dãy đồng đẳng và 28,6 gam hỗn hợp muối Z. Đốt cháy hoàn toàn Y, thu được 4,48 lít khí CO_{2} (đktc) và 6,3 gam H_{2}O. Giá trị của m là","21,9","30,4","20,1","22,8"
Năng lượng tối thiểu của một vi hạt chuyển động trong hố thế sâu vô hạn một chiều có bề rộng a là 10 ev. Hãy xác định những vị trí tại đó dễ tìm thấy hạt nhất khi hạt ở trạng thái có năng lượng 90 ev:,X = \frac{a}{8}; \frac{3a}{8}; 5a,X = \frac{a}{4}; \frac{3a}{4}; \frac{5a}{4},X = \frac{a}{6}; \frac{a}{2}; \frac{5a}{6},X = \frac{a}{3};\frac{2a}{3}
"Một vi hạt chuyển động trong giếng thế một chiều, có năng lượng bằng 16eV ở trạng thái n = 3. Năng lượng ứng với trạng thái n = 4 bằng:","28,4 eV","21,3 eV",9 eV,12 eV
"Cho biết giới hạn quang điện của đồng là 0,3\mum. Hiện tượng quang điện sẽ không xảy ra khi chiếu vào mặt một tấm đồng chùm sáng đơn sắc có bước sóng.","0,1 \mum","0,4 \mum","0,2 \mum","0,3 \mum"
"Cho biết giới hạn quang điện của đồng là 0,3μm. Hiện tượng quang điện sẽ xảy ra khi chiếu vào mặt một tấm đồng chùm sáng đơn sắc có bước sóng","0,5 \mum","0,2 \mum","0,6 \mum","0,7 \mum"
"Xác định giới hạn quang điện của kali biết công thoát của quang electron ra khỏi kali là 2,15eV","0,57 \mum","0,75 \mum","0,77 \mum","0,55 \mum"
"Xác định giới hạn quang điện của kim loại Potassium, biết công thoát của quang electron ra khỏi potassium là 2eV.","0,48 \mum","0,75 \mum","0,45\mum","0,62 \mum"
"Công thoát A của electron đối với kim loại Cs trong hiện tượng quang điện là 1,9eV. Xác định bước sóng giới hạn độ quang điện của Cs","0,52 \mum","0,54 \mum","0,65 \mum","0,62 \mum"
"Ban đầu có N0 hạt nhân của mẫu chất phóng xạ nguyên chất có chu kỳ bán rã T. Sau khoảng thời gian t= 3T, số hạt nhân chưa bị phân rã của mẫu chất phóng xạ là",\frac{N_0}{4},\frac{N_0}{16},\frac{N_0}{8},\frac{N_0}{2}
Bản chất của tia phóng xạ \alpha là gì.,Hạt nhân nguyên tử Hidro,Chùm hạt electron,Bức xạ điện từ,Hạt nhân nguyên tử Helium
Bản chất của tia phóng xạ \gamma là gì.,Hạt nhân nguyên tử Hidro,Chùm hạt electron,Hạt nhân nguyên tử Helium,Bức xạ điện từ
Trong các tia phóng xạ thì tia nào có khả năng ion hóa mạnh nhất,Tia \beta-,Tia  \beta+,Tia \alpha,Tia \gamma
Trong các tia phóng xạ thì tia nào có khả năng xuyên thấu mạnh nhất.,Tia \beta-,Tia \beta+,Tia \alpha,Tia \gamma
"Một bếp điện hoạt động ở lưới điện có tần số f = 50Hz. Người ta mắc nối tiếp một cuộn dây thuần cảm với một bếp điện, kết quả là làm cho công suất của bếp giảm đi và còn lại một nửa công suất ban đầu. Tính độ tự cảm của cuộn dây nếu điện trở của bếp là R = 20Ω","0,64(H)","0,56(H)","0,064(H)","0,056(H)"
"Một mạch dao động điện từ LC, gồm cuộn dây có lõi sắt từ, ban đầu tụ điện được tích một lượng điện tích Q nào đó, rồi cho dao động tự do. Dao động của dòng điện trong mạch là dao động tắt dần vì",Bức xạ sóng điện từ,Tỏa nhiệt do điện trở thuần của dây dẫn,Do dòng Fucô trong lõi của cuộn dây,Do cả ba nguyên nhân trên
Phát biểu nào sau đây đúng?,"Chuyển động cơ của một vật, có chu kỳ và tần số xác định, là dao động cơ tuần hoàn",Chuyển động cơ tuần hoàn của một vật là dao động cơ điều hòa,Đồ thị biểu diễn dao động cơ tuần hoàn luôn là một đường hình sin,Dao động cơ tuần hoàn là chuyển động cơ tuần hoàn của một vật lập đi lập lại theo thời gian quanh một vị trí cân bằng
"Một vật M treo vào một lò xo làm lò xo giãn 10 cm. Nếu lực đàn hồi tác dụng lên vật là 1 N, tính độ cứng của lò xo.",200 N/m,10 N/m,1 N/m,"0,1 N/m"
Kết luận nào sau đây không đúng? Đối với mỗi chất điểm dao động cơ điều hòa với tần số f thì,Vận tốc biến thiên điều hòa với tần số f,Gia tốc biến thiên điều hòa với tần số f,Động năng biến thiên điều hòa với tần số f,Thế năng biến thiên điều hòa với tần số 2f
"Một vật dao động điều hòa quanh điểm y = 0 với tần số 1Hz. vào lúc t = 0, vật được kéo khỏi vị trí cân bằng đến vị trí y = -2m, và thả ra không vận tốc ban đầu. Tìm biểu thức toạ độ của vật theo thời gian.",Y = 2cos(t + \pi) (m),Y = 2cos (2 \pi t) (m),Y = 2sin(t - \frac{\pi}{2}) (m),Y = 2sin(2 \pi t - \frac{\pi}{2}) (m)
