Câu hỏi,A,B,C,D,Answer,Grade,retained
"Sau thắng lợi của Cách mạng tháng Mười Nga, nhiệm vụ hàng đầu của Chính quyền Xô viết là","đập tan bộ máy nhà nước cũ, xây dựng nhà nước mới của những người lao động","khôi phục kinh tế, xây dựng chủ nghĩa xã hội và bảo vệ đất nước",ban hành Hiến pháp mới,"chống thù trong, giặc ngoài",B,Lịch sử 8,True
Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?,Năm 1918,Năm 1917,Năm 1919,Năm 1922,B,Lịch sử 8,True
"Khi mới thành lập, Liên Xô gồm 4 nước Cộng hoà Xô viết là","Nga, U -crai - na, Bê - lô - rút- xi-a và Lít - va","Nga, U -crai - na, Bê - lô - rút- xi-a và Ngoại Cáp - ca - dơ","Nga, U -crai - na, Môn - đô - va và Lát - vi -a","Nga, U -crai - na, Tuốc - mê - nix- tan và Ác- mê - ni -a",B,Lịch sử 8,False
Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Sự bình đẳng về mọi mặt giữa các dân tộc,Quyền dân tộc tự quyết của các dân tộc,Xây dựng một cộng đồng anh em giữa các dân tộc,Sáp nhập các nước cộng hoà Xô viết và nước Nga,D,Lịch sử 8,True
Liên bang Cộng hoà xã hội chủ nghĩa Xô viết được thành lập vào thời gian nào?,Tháng 3 - 1921,Tháng 12 - 1922,Tháng 3 - 1923,Tháng 1 - 1924,B,Lịch sử 8,True
Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Mở ra con đường giải quyết đúng đắn vấn đề dân tộc trên đất nước Xô viết trên cơ sở bình đẳng và sự giúp đỡ nhau,Phù hợp với lợi ích chung của các dân tộc trên đất nước Xô viết,"Tạo điều kiện cho sự phát triển nhanh chóng về kinh tế, xã hội của tất cả các nước Cộng hoà",Khẳng định công cuộc xây dựng chủ nghĩa xã hội ở Liên Xô đã hoàn thành,D,Lịch sử 8,True
Ý nào không phải là ý nghĩa quốc tế của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,"Trở thành biểu tượng và là chỗ dựa tinh thần, vật chất to lớn cho phong trào cách mạng thế giới","Cổ vũ, lôi cuốn mạnh mẽ phong trào giải phóng dân tộc ở những nước thuộc địa",Đưa đến sự hình thành trật tự thế giới mới,Tạo tiền đề cho sự ra đời của hệ thống xã hội chủ nghĩa trên thế giới,C,Lịch sử 8,True
"Sau khi V.I.Lê - nin - vị lãnh tụ vĩ đại của giai cấp vô sản, người đứng đầu Đảng và Nhà nước Xô viết qua đời, ai là người tiếp tục lãnh đạo công cuộc xây dựng và bảo vệ đất nước Liên - Xô?",V.I.Xta - lin,M. Gooc - ba - chốp,N. Khơ - rút - xốp,Bre - giơ - nhép,A,Lịch sử 8,True
Ý nào không phản ánh đúng nội dung của Hiến pháp Liên Xô năm 1924?,Ghi nhận việc hợp tác trên cơ sở tự nguyện của các nước Cộng hoà Xô viết thành một nhà nước Liên Bang,Phân định các quyền của Liên bang và của các nước Cộng hoà,Quy định cơ cấu tổ chức cơ quan Nhà nước tối cao Liên bang và các nước Cộng hoà,Khẳng định quyền lực của Chính quyền Xô viết,D,Lịch sử 8,True
"Sau Chiến tranh thế giới thứ hai, chủ nghĩa xã hội được mở rộng ở","Đông Âu, một số nước ở châu Á và khu vực Mỹ la tinh",Đông Âu và một số nước Châu Á,một số nước Châu Á và khu vực Mỹ la tinh,"một số nước Tây Âu, Đông Âu và khu vực Mỹ la tinh",A,Lịch sử 8,True
Thành tựu nổi bật trong công cuộc xây dựng chủ nghĩa xã hội ở các nước Đông Âu từ năm 1949 đến giữa những năm 70 của thế kỉ là,từ những nước nghèo đã trở thành những nước công nghiệp mới (NIsC),tự phóng được vệ tinh nhân tạo lên quỹ đạo Trái Đất,từ những nước nghèo đã trở thành các quốc gia công - nông nghiệp phát triển,đi đầu về công nghiệp điện hạt nhân,C,Lịch sử 8,True
"Sau khi cách mạng thắng lợi, một nhà nước mới ra đời ở Trung Quốc với tên là:",Cộng hoà Trung Hoa,Cộng hoà Dân chủ Trung Hoa,Cộng hoà Nhân dân Trung Hoa,Cộng hoà xã hội chủ nghĩa Trung Hoa,C,Lịch sử 8,False
Công cuộc đổi mới ở Việt Nam bắt đầu từ năm nào?,Năm 1976,Năm 1978,Năm 1982,Năm 1986,D,Lịch sử 8,False
"Từ khi thực hiện cải cách mở cửa (12 - 1978) đến nay, quy mô nền kinh tế Trung Quốc so với thế giới thay đổi như thế nào?",Đứng vị trí thứ tám trên thế giới,Đứng vị trí thứ năm trên thế giới,Đứng vị trí thứ ba trên thế giới,Đứng vị trí thứ hai trên thế giới,D,Lịch sử 8,False
Mốc thời gian nào đánh dấu sự chấm dứt chế độ xã hội chủ nghĩa ở Liên Xô?,Tháng 12 - 1989,Tháng 12 - 1991,Tháng 12 - 1990,Tháng 12 - 1992,B,Lịch sử 8,False
Nguyên nhân quan trọng nhất dẫn đến sự tan rã của chế độ chủ nghĩa xã hội ở Liên Xô và Đông Âu là gì?,"Do đường lối lãnh đạo của Đảng Cộng sản Liên Xô và các nước Đông Âu mang tính chủ quan, duy ý chí; chậm đổi mới cơ chế quản lí,....","Tình trạng lạc hậu về khoa học - kĩ thuật, không theo kịp sự phát triển chung của thế giới","Chậm tiến hành cải cách, sửa đổi và khi thực hiện cải cách lại mắc phải nhiều sai lầm",Sự chống phá của các thế lực thù địch ở trong và ngoài nước,A,Lịch sử 8,True
Ý nào không đúng về biện pháp cải cách về kinh tế mà Cu ba thực hiện nhằm đi theo con đường xây dựng chủ nghĩa xã hội?,"Thực hiện cải cách kinh tế từng bước, có chọn lọc",Chủ trương xây dựng nền kinh tế tập trung do Nhà nước quản lí,Chú trọng phát triển công nghiệp quốc phòng,"Chú trọng đến các ngành nghề mới như: công nghiệp du lịch, công nghệ sinh học, khai thác dầu khí,...",C,Lịch sử 8,True
Ý nào không phải là thành tựu về khoa học - công nghệ của công cuộc cải cách mở cửa ở Trung Quốc?,Phong tàu Thần Châu vào không gian,Dẫn đầu thế giới về công nghiệp điện hạt nhân,Xây dựng hệ thống định vị vệ tinh Bắc Đẩu,"Phát triển mạnh hạ tầng kĩ thuật số, trung tâm dữ liệu hiện đại",B,Lịch sử 8,True
"Từ năm 1868, Xiêm đã tiến hành hàng loạt cải cách quan trọng dưới thời vua nào?",Ra-ma IV,Ra-ma III,Ra-ma V,Ra-ma I,C,Lịch sử 8,False
"Ý nghĩa then chốt, quan trọng nhất của cách mạng khoa học - kĩ thuật lần thứ hai?",Tạo ra một khối lượng hàng hoá đồ sộ.,Đưa loài người chuyển sang nền văn minh trí tuệ.,Thay đổi một cách cơ bản các nhân tố sản xuất.,Sự giao lưu quốc tế ngày càng được mở rộng.,C,Lịch sử 9,True
Từ 1979 đến cuối những năm 80 của thế kì XX quan hệ giữa Việt Nam với ASEAN là gì?,Quan hệ hợp tác song phương.,Quan hệ đối thoại.,Quan hệ đối đầu do bất đồng về quan hệ kinh tế.,Quan hệ đối đầu do vấn đề Cam-pu-chia.,D,Lịch sử 9,True
Chỗ dựa chủ yếu của công cuộc xây dựng chủ nghĩa xã hội ở các nước Đông Âu là?,Thành quả của cách mạng dân chủ nhân dân (1946 -1949) và nhiệt tình của nhân dân.,Sự hoạt động và hợp tác của Hội đồng Tương trợ Kinh tế (SEV).,Sự giúp đỡ của Liên Xô.,Sự hợp tác giữa các nước Đông Âu.,A,Lịch sử 9,False
Kế hoạch 5 năm lần thứ nhất của Trung Quốc tiến hành trong khoảng thời gian nào?,1949-1953,1953-1957,1957-1961,1961-1965,C,Lịch sử 9,False
Ngay sau khi Chiến tranh thế giới thứ hai kết thúc phong trào giải phóng dân tộc đã nổ ra mạnh mẽ nhất ở các nước nào?,"In-đô-nê-xi-a, Việt Nam, Lào.","Việt Nam, Mi-an-ma, Lào.","In-đô-nê-xi-a, Xin-ga-po, Thái Lan.","Phi-lip-pin, Việt Nam, Ma-lai-xi-a.",A,Lịch sử 9,False
"Cuộc đấu tranh của giai cấp công nhân Việt Nam thời kỳ này còn lẻ tẻ, tự phát nhưng ý thức giai cấp phát triển nhanh chóng. Đó là đặc điểm của phong trào công nhân Việt Nam thời kỳ nào?",Chế độ phân biệt chủng tộc.,Chủ nghĩa thực dân cũ.,Chế độ tay sai phản động của chủ nghĩa thực dân mới.,Giai cấp địa chủ phong kiến.,C,Lịch sử 9,False
Biến đổi lớn nhất của các nước châu Á sau Chiến tranh thế giới thứ hai là gì?,Các nước châu Á đã giành độc lập.,Các nước châu Á đã gia nhập ASEAN.,Các nước châu Á đã trở thanh trung tâm kinh tế tài chính thể giới.,Tất cả các câu trên.,A,Lịch sử 9,True
Việt Nam gia nhập tổ chức Liên Hợp Quốc vào thời gian nào?,8/1977,9/1977,1/1987,11/1987,B,Lịch sử 9,True
Nguyên nhân cơ bản nào làm cho chủ nghĩa xã hội ở Liên Xô và Đông Âu sụp đổ?,Các thế lực chống CNXH trong và ngoài nước chống phá.,Chậm sửa chữa những sai lầm.,"Nhà nước nhân dân Xô viết, nhận thấy CNXH không tiến bộ nên muốn thay đổi chế độ.",Xây dựng mô hình chủ nghĩa xã hội không phù hợp.,D,Lịch sử 9,True
Hiệp ước an ninh Mĩ-Nhật được kí kết nhằm mục đích gì?,Hình thành một liên minh Mĩ-Nhật chống lại các nước XHCN và phong trào giải phóng dân tộc vùng Viễn Đông.,Nhật Bản trở thành căn cứ chiến lược của Mĩ.,Nhật Bản muốn lợi dụng vốn kĩ thuật của Mĩ để phát triển kinh tế.,Tạo thế cân bằng giữa Mĩ và Nhật.,A,Lịch sử 9,True
Cộng hòa Dân chủ Đức sát nhập vào CHLB Đức vào thời gian nào?,03/09/1990.,03/10/1990.,03/11/1990.,03/12/1990.,B,Lịch sử 9,False
Tổ chức Hiệp ước Phòng thủ Vác-sa-va mang tính chất?,Một tổ chức kinh tế của các nước XHCN ở châu Âu,Một tổ chức liên minh phòng thủ về quân sự của các nước XHCN ở châu Âu.,Một tô chức liên minh chính trị của các nước XHCN ở châu Âu.,Một tổ chức liên minh phòng thủ về chính trị và quân sự của các nước XHCN ở châu Âu.,D,Lịch sử 9,False
"Giữa những năm 50 của thế kỉ XX, tình hình Đông Nam Á diễn ra như thế nào?",Ngày càng trở nên căng thẳng.,Ngày càng phát triển phồn thịnh.,Ổn định.,Ổn định và phát triển.,A,Lịch sử 9,True
Thành tựu nào quan trọng nhất mà Liên Xô đạt được sau chiến tranh?,"Năm 1949, Liên Xô chế tạo thành công bom nguyên tử.","Năm 1957, Liên Xô là nước đầu tiên phóng thành công vệ tinh nhân tạo của trái đất.","Năm 1961, Liên Xô là nước đầu tiên phóng thành công tàu vũ trụ có người lái.","Đến thập kỉ 60 (thế kỉ XX), Liên Xô trở thành cường quốc công nghiệp đứng thứ hai trên thế giới (sau Mĩ).",D,Lịch sử 9,False
Kẻ thù chủ yếu trong cuộc cách mạng giải phóng dân tộc của người dân da đen ở Nam Phi là ai?,Chủ nghĩa A-pác-thai.,Chủ nghĩa thực dân mới.,Chủ nghĩa thực dân cũ.,Chủ nghĩa thực dân cũ và mới.,A,Lịch sử 9,False
Cuộc cách mạng dân tộc dân chủ Trung Quốc mang tính chất gì?,Một cuộc cách mạng tư sản do giai cấp vô sản lãnh đạo.,Một cuộc cách mạng vô sản do giai cấp vô sản lãnh đạo.,Một cuộc cách mạng giải phóng dân tộc.,Một cuộc nội chiến.,B,Lịch sử 9,False
Sau Chiến tranh thế giới thứ hai Nhật Bản đã gặp khó khăn gì lớn nhất?,"Bị mất hết thuộc địa, kinh tế bị tàn phá nặng nề.",Bị các nước đế quốc bao vây kinh tế.,"Nạn thất nghiệp, thiếu lương thực, thực phẩm.",Bị quân đội Mĩ chiếm đóng theo chế độ quân quản.,A,Lịch sử 9,True
Chính sách đối ngoại của Liên Xô từ năm 1945 đến nửa đầu những năm 70 thế kỉ XX là gì?,Muốn làm bạn với tất cả các nước.,Chỉ quan hệ với các nước lớn.,Hòa bình và tích cực ủng hộ cách mạng thế giới.,Chỉ làm bạn với các nước xã hội chủ nghĩa.,C,Lịch sử 9,True
Tổng thống Mĩ sang thăm Việt Nam đầu tiên vào năm nào?,1990,1991,1992,1993,D,Lịch sử 9,True
Chương trình khai thác thuộc địa lần thứ hai của thực dân Pháp bắt đầu vào năm nào?,1914,1919,1918,1920,B,Lịch sử 9,True
Chủ nghĩa A-pác-thai bị xoá bỏ tại đâu?,Nam Phi.,Mĩ La-tinh.,Trung Đông.,Châu Phi.,A,Lịch sử 9,True
"Thời gian tiến hành công cuộc ""cải tổ"" của Liên Xô kéo dài trong bao lâu?",4 năm (1985-1989).,5 năm (1985-1990).,6 năm (1985-1991).,7 năm (1985-1992).,C,Lịch sử 9,True
"Năm 1992, ASEAN quyết định biến Đông Nam Á thành?",Một khu vực phồn thịnh.,Một khu vực ổn định và phát triển.,Một khu vực mậu dịch tự do.,Một khu vực hòa bình.,C,Lịch sử 9,True
Ai là lãnh tụ phong trào 26/7/1953 của cách mạng Cu Ba?,Chê Ghê-va-na,Phi-đen Cax-tơ-rô,Ra-un Cax-tơ-rô,A-gien-đê,B,Lịch sử 9,True
"Sau khi Hiệp định Pari được kí kết, miền Bắc nước ta tiếp tục thực hiện nghĩa vụ của hậu phương như thế nào?","Đưa vào miền Nam, Campuchia và Lào hàng chục vạn bộ đội hàng vạn thanh niên xung phong, cán bộ chuyên môn, nhân viên kĩ thuật.","Đưa vào miền Nam hàng trục vạn bộ đội hàng vạn thanh niên xung phong, cán bộ chuyên môn, nhân viên kĩ thuật.","Đưa vào Sài Gòn – Gia Định hàng trục vạn bộ đội, hàng vạn thanh niên xung phong, cán bộ chuyên môn, nhân viên kĩ thuật.","Đưa vào miền Nam, Campuchia và Lào các loại vũ khí phương tiện chiến tranh hiện đại nhất.",A,Lịch sử 9,True
Sự phân hóa của Việt Nam Cách mạng Thanh Niên dẫn đến sự ra đời của của tổ chức nào?,"Đông Dương cộng sản Đảng, Đông Dương cộng sản liên đoàn.","Đông Dương cộng sản Đảng, An Nam cộng sản Đảng, Đông Dương cộng sản liên đoàn.","Đông Dương cộng sản Đảng, An Nam cộng sản Đảng.",Cả ba ý trên đều sai.,C,Lịch sử 9,True
Đảng Cộng sản Việt Nam ra đời là sản phẩm của sự kết hợp:,"Chủ nghĩa Mác-Lê nin với phong trào dân tộc, dân chủ.",Chủ nghĩa Mác-Lê nin với phong trào công nhân.,Chủ nghĩa Mác-Lê nin với phong trào công nhân và phong trào yêu nước.,Chủ nghĩa Mác-Lê nin với phong trào công nhân và phong trào nông dân.,C,Lịch sử 9,False
