,Câu hỏi,A,B,C,D,Answer,Grade
737,"Ở nước ta hiện nay, khái niệm việc làm được hiểu như thế nào?",Mọi hoạt động tạo ra thu nhập,Mọi hoạt động sản xuất kinh doanh,Mọi hoạt động không bị pháp luật cấm,"Mọi hoạt đọng lao động tạo ra nguồn thu nhập, không bị pháp luật cấm",D,GDCD 11
738,Nội dung nào dưới đay đúng với tình hình việc làm hiện nay ở nước ta,Tạo được nhiều việc làm cho người lao động,Tỉ lệ thất nghiệp thấp,Thiếu việc làm cho người lao động ở thành phố lớn,Tình trạng thiếu việc làm ở nông thông và thành thị,D,GDCD 11
739,Nội dung nào dưới đây đúng với phương hướng tiêu của chính sách tài nguyên và bảo vệ môi trường ở nước ta hiện nay?,Đổi mới cơ chế quản lí khoa học và công nghệ,Xây dựng tiềm lực khoa học và công nghệ,Coi trọng công tác nghiên cứu khoa học và công nghệ,Đẩy mạnh hợp tác quốc tế trong lĩnh vực khoa học và công nghệ,C,GDCD 11
740,Hoạt động nòa dưới đây góp phần bảo vệ môi trường?,"Thu gom, phân loại, xử lí chất thỉa đúng nơi quy định",Chon chất thải độc hại vào đất,Đốt các loại chất thải,"Tái chế, sử dụng các loại chất thải",A,GDCD 11
741,Nhà nước quy điịnh mọi tài nguyên đưa vào sử dụng đều phải nọp thuế hoặc trả tiền thuê là nhằm,Hạn chế sử dụng tài nguyên,Sử dụng hợp lí tài nguyên,Tăng ngân sách nhà nước,Ngăn chặn khai thác tài nguyên,C,GDCD 11
742,Bảo vệ tài nguyên môi trường là trách nhiệm của,Đảng và nhà nước ta,Các cơ quan chức năng,"Mọi công dân, cơ quan, tổ chức",Thế hệ trẻ,C,GDCD 11
743,Nhà nước ban hành Luật Bảo vệ môi trường là việc làm nhằm mục đích,Tăng cường công tác quản lí của Nhà nước về bảo vệ môi trường,Xử phạt các hành vi vi phạm môi trường,Xây dựng ý thức trách nhiệm bảo vệ môi trường cho người dân,Thực hiện vai trò quản lí của Nhà nước đối với môi trường,A,GDCD 11
744,Một trong những đặc trưng cơ bản của chủ nghĩa xã hội pử Việt Nam là,"Có nền văn hóa tiến bộ, đậm đà bản sắc dân tộc",Có nền văn hóa hiện đại,Có di sản văn hóa vật thể và phi vật thể,Có nguồn lao động dồn dào,A,GDCD 11
745,"Các dân tộc trong cộng đồng Việt Nam bình đẳng, đoàn kết, tương trợ và giúp đỡ lẫn nhau cùng tiến bộ là",Đặc trưng cơ bản của chủ nghĩa xã hội ở Việt Nam,Điểm mới trong xã hội Việt Nam,Biểu hiện của sự phát triển của các dân tộc,Đặc điểm quan trọng cúa đất nước,A,GDCD 11
746,Nguyên nhân nào dưới đây lí giải cho việc nước ta đi lên chủ nghĩa xã hội bỏ qua chế độ tư bản chủ nghĩa là hoàn toàn đúng đắn?,"Đi lên chủ nghĩa xã hội xóa bỏ áp lực , bóc lột",Đi lên chủ nghĩa xã hội la nhu cầu của nhiều nước trên thế giới,Tư bản chủ nghĩa là một chế độ còn duy trì tình trạng bóc lột,Chủ nghĩa xã hội là chế độ xã hội tốt đẹp và công bằng,A,GDCD 11
747,Nước ta quá độ lên chủ nghĩa xã hội theo hình thức nào dưới đây?,Quá độ trực tiếp,Quá độ gián tiếp,Quá độ nhảy vọt,Quá độ nửa trực tiếp,B,GDCD 11
748,Chủ trương “ hòa nhập nhưng không hoà tan” trong tiến trình hội nhập với văn hóa thế giới thể hiện đặc trưng cơ bản nào dưới đây của chủ nghĩa xã hội ở nước ta?,"Là một xã hộ dân giàu, nước mạnh, dân chủ, công bằng, văn minh",Do nhân dân làm chủ,Có quan hệ hữu nghị và hợp tác với nhân dân các nước trên thế giới,"Có nền văn hóa tiên tiến, đậm đà bản sắc dân tộc",D,GDCD 11
749,"Nhà nước thể hiện ý chí, lợi ích và nguyện vọng của nhân dân là nói đến đặc điểm nào dưới đây?",Tính xã hội,Tính nhân dân,Tính giai cấp,Tính quần chúng,B,GDCD 11
750,Công cụ nào dưới đây là hữu hiệu nhất để Nhà nước quản lí xã hội,Kế hoạch,Chính sách,Pháp luật,Chủ trương,C,GDCD 11
751,"Nhà nước pháp quyền có nghĩa là, mọi hoạt động của các cơ quan nhà nước, tổ chức xã hội và mọi công dân đều được thực hiện trên cơ sở",Pháp luật,Chính sách,Dư luận xã hội,Niềm tin,A,GDCD 11
752,Chức năng cơ bản của Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam là,Trấn áp các lực lượng phá hoại,Tổ chức và xây dựng,Giữ gìn chế độ xã hội,Duy trì an ninh quốc phòng,B,GDCD 11
753,Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam mang bản chất của giai cấp,Công nhân,Nông dân,Tri thức,Tiểu thương,A,GDCD 11
754,Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam là Nhà nước,"Của nhân dân, do nhân dân, vì nhân dân",Của riêng giai cấp lãnh đạo,Của riêng những người lao động nghèo,Của riêng tầng lớp tri thức,A,GDCD 11
755,Dân chủ trực tiếp là nhân dân tham gia trực tiếp quyết điịnh công việc của,Nhà nước,Cá nhân,Công chức,Nhân dân,A,GDCD 11
756,Hành vi nào dưới đây không phải là hình thức dân chủ trực tiếp?,Ứng cử đại biểu Hội đồng nhân dân phường,"Nhân dân tham gia thảo luận, góp ý kiến sửa đổi Hiến pháp","Nhân dân tham gia giám sát, kiểm tra hoạt động của cơ quan nhà nước ở địa phương",Đại biểu Quốc hội thay mặt nhân dân tham gia xây dựng các đạo luật,D,GDCD 11
757,Dân chủ gián tiếp là hình thức dân chủ để nhân dân bầu ra những người,Đại diện thay mặt mình quyết điịnh các công việc chung của Nhà nước,Có trách nhiệm thay mặt mình quyết định các công việc chung của Nhà nước,Có khả năng thay mặt mình quyết định các công việc chung của Nhà nước,Có chuyên môn thay mặt mình quyết định các công việc chung của Nhà nước,A,GDCD 11
758,Anh A tố cáo người có hành vi trộm cắp tài sản Nhà nước là thực hiện hình thức dân chr nào dưới đây?,Trực tiếp,Gián tiếp,Hợp pháp,Thống nhất,A,GDCD 11
759,"Khi cán bộ dân số đến một gia đình để tuyên truyền về thực hiện kế hoạch hóa gia đình, nhưng họ không quan tâm và không hợp tác. Theo em, cán bộ dân số nên làm theo cách nào dưới đây?","Vẫn nhiệt tình giải thích, thuyết phục họ hiểu và cộng tác",Cán bộ dân số đứng dậy và ra về,Mời gia đình lên Ủy ban nhân dân xã giải quyết,"Phê bình, kỉ luật gia đình đó",A,GDCD 11
760,Một trong những mục tiêu của chính sách giải quyết việc làm ở nước ta là,"Thức đẩy phát triển sản xuất, dịch vụ",Sử dụng có hiệu quả nguồn vốn,Đẩy mạnh xuất khẩu lao động,Phát triển nguồn nhân lực,D,GDCD 11
761,Một trong nhưng phương hướng cơ bản của chính sách giải quyết việc làm ở nước ta là,Khuyến khích người lao động tự học nâng cao trình độ,Khuyến khích làm giàu theo pháp luật,Khuyến khích đào tạo nghề cho người lao động,Khuyến khích các doanh nghiệp tạo ra nhiều việc làm,B,GDCD 11
762,Hoạt động bảo vệ môi trường nào dưới đây không được khuyến khích?,"Sản xuất, kinh doanh, tiêu dùng sản phẩm thân thiện với môi trường","Giảm thiểu, thu gom, tái sử dụng và tái chế chất thải",Sử dụng năng lượng sạch,Chôn lấp các loại rác thải vào đất,D,GDCD 11
763,Một trong những phương hướng cơ bản của chính sách tài nguyên và bảo vệ môi trường là ?,"Giữ nguyên tình trạng tài nguyên, không khai thác và sử dụng",Ngăn cấm các hoạt động có ảnh hưởng đến tài nguyên và môi trường,"Chủ động phòng ngừa, ngăn chặn ô nhiễm, cải thiện môi trường, bảo tồn thiên nhiên","Đưa công nghệ hiện đại vào khai thác tài nguyên, bảo vệ môi trường",C,GDCD 11
764,Hành vi nào dưới đây không phải là hành vi bảo vệ môi trường?,Quản lí chất thải,"Phòng, ngừa, ứng phó với sự cố môi trường",Khai thác gỗ bừa bãi,Phân loại rác,C,GDCD 11
765,Cơ sở sản xuất A đã xây dựng dây chuyền xử lí rác thải bằng công nghệ hiện đại. Việc làm này là,Áp dụng công nghệ hiện đại để xử lí rác thải,"Chủ động phòng ngừa, ngăn chặn ô nhiễm môi trường",Đổi mới trang thiết bị sản xuất,Tiết kiệm chi phí trong sản xuất,A,GDCD 11
766,"Biện pháp nào dưới đây góp phần bảo vệ động vật hoang dã, quý hiếm?",Chăm sóc chúng thật tốt khi nuôi nhốt làm cảnh,Thả động vật lại môi trường sống của chúng,"Tổ chức nuôi nhốt các động vật hoang dã, quý hiếm","Thu mua những động vật hoang dã, quý hiếm",B,GDCD 11
767,"Để bảo vệ và phát triển rừng, pháp luật nghiêm cấm những hành vi nào dưới đây?","Chặt phá rừng, khai thác rừng trái phép","Trồng rừng, phát triển các khu bảo tồn thiên nhiên",Bảo vệ rừng đầu nguồn,Mở rộng diện tích rừng,A,GDCD 11
768,Nhiệm vụ của giáo dục và đào tạo ở nước ta là,Đào tạo con người Việt Nam phát triển toàn diện,"Nâng cao dân trí, đào tạo nhân lực, bồi dưỡng nhân tài","Phục vụ sự nghiệp công nghiệp hóa, hiện đại hóa đất nước","Giữ gìn, phát triển và truyền bá văn minh nhân loại",B,GDCD 11
769,Thực hiện công bằng xã hội trong giáo dục nhằm,Đảm bảo quyền học tập suốt đời của công dân,Tạo mọi điều kiện để người nghèo có cơ hội được học tập,Tạo môi trường cho công dân nâng cao nhận thức,Đáp ứng nhu cầu học tập của công dân,B,GDCD 11
770,Một trong những phương hướng cơ bản của chính sách giáo dục và đào tạo ở nước ta là,"Nâng cao dân trí, đào tạo nhân lực, bồi dưỡng nhân tài","Nâng cao chất lượng, hieeujq ủa giáo dục và đào tạo",Nâng cao hiểu biết và mức hưởng thụ văn hóa,Nâng cao hiệu quả của hoạt động khoa học và công nghệ,B,GDCD 11
771,Nhà nước huy động mọi nguồn lực để phát triên giáo dục và đào tạo là thực hiện nội dung của phương hướng?,Mở rông quy mô giáo dục,Ưu tiên đầu tư cho giáo dục,Thực hiện công bằng xã hội trong giáo dục,Xã hội hóa sự nghiệp giáo dục,B,GDCD 11
772,Nhà nước tăng cường hợp tác với các nước trong khu vực và quốc tế về giáo dục là nhằm,Tiếp cận chuẩn mực giáo dục tiên tiến của thế giới,Mở rộng quy mô giáo dục,Đa dạng hóa các hình thức giáo dục,Mở rộng quan hệ giao lưu quốc tế,A,GDCD 11
773,Nội dung nào dưới đay thuộc phương hướng của chính scahs giáo dục và đào tạo nước ta?,Chủ động và tích cực hội nhập kinh tế quốc tế,Củng cố và tăng cường quan hệ với các nước,Xây dựng tiềm lực khoa học và công nghệ,Tăng cường hợp tác quốc tế về giáo dục và đào tạo,D,GDCD 11
774,Phát triển giáo dục là sự nghiệp của,Nhà nước và của toàn dân,Đảng và Nhà nước,Bộ Giáo dục và Đào tạo,Nhà nước và Bộ Giáo dục và Đào tạo,A,GDCD 11
775,"Nhà nước có chính sách đúng đắn trong việc phát triển, đào tạo, bồi dưỡng, sử dụng nhân tài là nhằm","Nâng cao chất lượng, hiệu quả giáo dục và đào tạo",Ưu tiên đầu tiên cho giáo dục,Thực hiện công bằng xã hội trong giáo dục,Mở rộng quy mô giáo dục,A,GDCD 11
776,"Muốn nâng cao chất lượng, hiệu quả giáo dục và đào tạo, chúng ta phải","Thực hiện giáo dục toàn diện, đổi mới nội dung, phương pháp dạy học",Ưu tiên đầu tư cho giáo dục,Tăng cường hợp tác quốc tế và giáo dục,Xã hội hóa sự nghiệp giáo dục,A,GDCD 11
777,"Nhà nước bảo vệ và phát triển tiếng nói, chữ viết của các dâ tộc ở Việt Nam là thể hiện",Chính sách giáo dục và đào tạo,Chính sách văn hóa,Chính sách khoa học và công nghệ,Chính sách dân tộc,B,GDCD 11
778,Việc làm nào dưới đây là góp phần bảo tồn di tích lịch sử?,"Tu bổ, phục hồi giá trị di tích lịch sử","Tháo dỡ, phá hủy di tích lịch sử","Cải tạo, thay thế di tích lịch sử",Giữ nguyên hiện trạng di tích lịch sử,A,GDCD 11
779,"Nơi em ở có một số người hoạt động mê tín dị đoan như sau: bói toán, lên đồng, xóc thẻ, cúng ma, trừ tà, phù phép. Việc làm đó vi phạm chính sách nào dưới đây ?",Chính sách dân số,Chính sách văn hóa,Chính sách an ninh và quốc phòng,Chính sách giáo dục và văn hóa,B,GDCD 11
